0,0
-6637.53,-5106.7
2455.82,-5422.56
-5357.72,-1157.85
3478.07,60.8378
-4013.48,4170.1
1859.15,895.323
-2529.33,-4770.94
867.492,-4218.01
1569.84,4111.99
708.303,2468.66
0.412781,-3130.07
-2230.48,-8066.67
44.5673,-418.38
4045.78,4309.03
2101.82,2979.92
-6049.23,3415.48
-2868.72,-5764.07
816.153,3770.51
6516.42,-3488.19
-1966.26,6036.04
-2193.35,-5716.29
-1543.87,2975.18
4936.15,-3673.2
-316.86,4028.86
-298.522,-2747.88
-3327.56,-691.173
-417.145,1927.56
2254.97,-162.276
-2923.49,1488.73
2504.69,-2521.61
-3752.96,398.079
4008.03,-417.137
-2941.54,2560.91
3449.03,905.104
-2708.68,-1808.07
2199.53,-3618.24
-2256.02,954.432
1362.01,5149.99
447.97,144.227
-667.664,-5017.19
-983.69,-1199.4
-203.706,4847.24
1454.52,2925.79
177.726,-2753.17
-616.37,-2850.91
-712.091,1211.4
900.817,2512.29
972.676,-601.463
-507.774,-2103.21
-1391.03,-485.574
-411.655,2011.77
-207.865,2388.76
1376.25,-718.087
-2614.64,-857.853
2046.86,-1351.72
-1709.37,1471.85
2914.55,1324.72
-1289.28,234.02
2332.45,-3060.17
-2749.73,-1004.08
693.182,1219.52
-243.418,672.67
-1225.07,-453.134
389.502,-1080.97
-2734.43,1090.99
3573.26,707.824
-2372.23,2178.67
3899.97,640.892
-2167.62,-448.61
2086.8,-1101.28
-1062.43,-929.775
-110.71,943.824
1015.59,-881.261
-1660.18,-1767.84
56.9186,-479.032
-2044.4,3202.46
831.783,3350.77
257.018,-445.282
-26.6807,-1206.73
815.351,1154.12
334.683,2965.84
2821.07,-2235.25
-1091.34,-6846.13
501.638,-6143.72
-3191.08,435.187
1299.23,1828.55
-1468.11,-1868.71
-2615.86,-704.433
-2403.71,5558.4
491.29,8724.5
3622.4,4630.02
454.195,296.784
1959.13,-1199.37
143.993,-801.986
5672.04,-4913.06
-2472.04,-6346.86
28.7572,-5559.47
-5755.36,-1672.17
204.386,1192.65
-4124.6,3079.75
-909.812,5131.88
-380.394,6137.23
4120.15,3939.26
3876.75,771.473
3373.35,-1602.44
3655.55,-3895.13
-494.497,-5228.27
86.9584,-5378.09
-5923.46,-2935.77
-1123.11,383.539
-4779.97,1722.34
479.316,2639.25
-2436.48,3415.68
4013.73,2947.52
-285.612,1190.93
3734.99,-400.621
-121.389,-2687.6
1748.89,-2565.49
-518.97,-2673.42
-1967.51,-2020.75
-2266.46,-755.448
-3498.9,800.778
-1409.33,3785.38
-3405.03,4684.79
1662.65,5951.67
-416.243,3422.75
5860.19,4007.41
2275.13,-224.452
6587.31,97.9931
3140.35,-4732.6
3634.79,-4233.66
-1740.69,-5372.92
-588.44,-1342.09
-5697.72,-2849.09
-3435.95,2014.25
-4689.8,1037.24
-1998.45,4869.03
-605.004,3137.44
1202.46,1643.4
3058.11,1172.99
4451.22,-1192.14
4246.87,-1385.01
1059.32,-6055.28
-672.249,-2431.25
-4105.81,-6062.74
-4839.28,1476.63
-5961.74,-1880.95
-6748.37,3843.18
-5128.45,2098.1
-3387.84,4780.6
-558.109,5628.76
3452.21,6790.36
5904.3,3043.82
6973.55,133.956
6162.05,-3094.93
3535.42,-3870.17
627.749,-4158
-1840.43,-5108.41
-3472.19,-3322.43
-4619.39,-2392.9
